request_number,scope,variant,sample_id,dataset,provider,model,attempt,status,http_status,error_type,error_message,input_tokens,cache_hit_input_tokens,cache_miss_input_tokens,output_tokens,total_tokens,latency_ms,estimated_cost_usd,requested_at_utc,completed_at_utc
89,pilot,A,fpb-full-002071,fpb,upstage,solar-pro3,1,success,200,,,167,0,167,3,170,392.65,2.685e-05,2026-07-21T02:38:22.412089+00:00,2026-07-21T02:38:22.804693+00:00
90,pilot,A,fpb-full-002081,fpb,upstage,solar-pro3,1,success,200,,,184,0,184,3,187,401.79,2.94e-05,2026-07-21T02:38:23.118247+00:00,2026-07-21T02:38:23.520069+00:00
91,pilot,A,fpb-full-002097,fpb,upstage,solar-pro3,1,success,200,,,190,0,190,3,193,381.07,3.03e-05,2026-07-21T02:38:23.832687+00:00,2026-07-21T02:38:24.213364+00:00
92,pilot,A,fpb-full-002115,fpb,upstage,solar-pro3,1,success,200,,,150,0,150,3,153,406.45,2.43e-05,2026-07-21T02:38:24.527074+00:00,2026-07-21T02:38:24.934141+00:00
93,pilot,A,fpb-full-002135,fpb,upstage,solar-pro3,1,success,200,,,156,0,156,3,159,397.96,2.52e-05,2026-07-21T02:38:25.247962+00:00,2026-07-21T02:38:25.645541+00:00
94,pilot,A,fpb-full-002153,fpb,upstage,solar-pro3,1,success,200,,,166,0,166,3,169,410.89,2.67e-05,2026-07-21T02:38:25.959507+00:00,2026-07-21T02:38:26.370617+00:00
95,pilot,A,fpb-full-002171,fpb,upstage,solar-pro3,1,success,200,,,162,0,162,3,165,396.83,2.61e-05,2026-07-21T02:38:26.682963+00:00,2026-07-21T02:38:27.079128+00:00
96,pilot,A,fpb-full-002175,fpb,upstage,solar-pro3,1,success,200,,,163,0,163,3,166,392.58,2.625e-05,2026-07-21T02:38:27.393437+00:00,2026-07-21T02:38:27.786366+00:00
97,pilot,A,fpb-full-002196,fpb,upstage,solar-pro3,1,success,200,,,151,0,151,3,154,396.79,2.445e-05,2026-07-21T02:38:28.099527+00:00,2026-07-21T02:38:28.495853+00:00
98,pilot,A,fpb-full-002263,fpb,upstage,solar-pro3,1,success,200,,,164,0,164,3,167,390.53,2.64e-05,2026-07-21T02:38:28.809220+00:00,2026-07-21T02:38:29.199250+00:00
99,pilot,A,fpb-full-002268,fpb,upstage,solar-pro3,1,success,200,,,195,0,195,3,198,388.37,3.105e-05,2026-07-21T02:38:29.512918+00:00,2026-07-21T02:38:29.901464+00:00
100,pilot,A,fpb-full-002274,fpb,upstage,solar-pro3,1,success,200,,,163,0,163,3,166,390.01,2.625e-05,2026-07-21T02:38:30.214122+00:00,2026-07-21T02:38:30.604601+00:00
101,pilot,A,fpb-full-002275,fpb,upstage,solar-pro3,1,success,200,,,203,0,203,3,206,398.46,3.225e-05,2026-07-21T02:38:30.917305+00:00,2026-07-21T02:38:31.315940+00:00
102,pilot,A,fpb-full-002316,fpb,upstage,solar-pro3,1,success,200,,,147,0,147,3,150,389.62,2.385e-05,2026-07-21T02:38:31.628654+00:00,2026-07-21T02:38:32.018154+00:00
103,pilot,A,fpb-full-002364,fpb,upstage,solar-pro3,1,success,200,,,150,0,150,3,153,385.32,2.43e-05,2026-07-21T02:38:32.331877+00:00,2026-07-21T02:38:32.716898+00:00
104,pilot,A,fpb-full-002385,fpb,upstage,solar-pro3,1,success,200,,,161,0,161,3,164,656.06,2.595e-05,2026-07-21T02:38:33.030569+00:00,2026-07-21T02:38:33.686179+00:00
105,pilot,A,fpb-full-002393,fpb,upstage,solar-pro3,1,success,200,,,145,0,145,3,148,388.76,2.355e-05,2026-07-21T02:38:33.999626+00:00,2026-07-21T02:38:34.388381+00:00
106,pilot,A,fpb-full-002395,fpb,upstage,solar-pro3,1,success,200,,,161,0,161,3,164,401.15,2.595e-05,2026-07-21T02:38:34.701516+00:00,2026-07-21T02:38:35.102299+00:00
107,pilot,A,fpb-full-002412,fpb,upstage,solar-pro3,1,success,200,,,183,0,183,3,186,946.18,2.925e-05,2026-07-21T02:38:35.416070+00:00,2026-07-21T02:38:36.361792+00:00
108,pilot,A,fpb-full-002413,fpb,upstage,solar-pro3,1,success,200,,,208,0,208,3,211,397.36,3.3e-05,2026-07-21T02:38:36.675785+00:00,2026-07-21T02:38:37.072988+00:00
109,pilot,A,fpb-full-002457,fpb,upstage,solar-pro3,1,success,200,,,179,0,179,3,182,384.89,2.865e-05,2026-07-21T02:38:37.386945+00:00,2026-07-21T02:38:37.771862+00:00
110,pilot,A,fpb-full-002464,fpb,upstage,solar-pro3,1,success,200,,,150,0,150,3,153,388.23,2.43e-05,2026-07-21T02:38:38.085093+00:00,2026-07-21T02:38:38.473532+00:00
111,pilot,A,fpb-full-002513,fpb,upstage,solar-pro3,1,success,200,,,143,0,143,3,146,404.69,2.325e-05,2026-07-21T02:38:38.787397+00:00,2026-07-21T02:38:39.192234+00:00
112,pilot,A,fpb-full-002581,fpb,upstage,solar-pro3,1,success,200,,,150,0,150,3,153,418.62,2.43e-05,2026-07-21T02:38:39.505648+00:00,2026-07-21T02:38:39.924423+00:00
113,pilot,A,fpb-full-002587,fpb,upstage,solar-pro3,1,success,200,,,156,0,156,3,159,398.55,2.52e-05,2026-07-21T02:38:40.238332+00:00,2026-07-21T02:38:40.637157+00:00
114,pilot,A,fpb-full-002605,fpb,upstage,solar-pro3,1,success,200,,,177,0,177,3,180,396.92,2.835e-05,2026-07-21T02:38:40.950397+00:00,2026-07-21T02:38:41.347092+00:00
115,pilot,A,fpb-full-002657,fpb,upstage,solar-pro3,1,success,200,,,170,0,170,3,173,396.11,2.73e-05,2026-07-21T02:38:41.660807+00:00,2026-07-21T02:38:42.057052+00:00
116,pilot,A,fpb-full-002705,fpb,upstage,solar-pro3,1,success,200,,,141,0,141,3,144,393.0,2.295e-05,2026-07-21T02:38:42.370734+00:00,2026-07-21T02:38:42.763544+00:00
117,pilot,A,fpb-full-002798,fpb,upstage,solar-pro3,1,success,200,,,152,0,152,3,155,400.11,2.46e-05,2026-07-21T02:38:43.077901+00:00,2026-07-21T02:38:43.477866+00:00
118,pilot,A,fpb-full-002801,fpb,upstage,solar-pro3,1,success,200,,,200,0,200,3,203,436.48,3.18e-05,2026-07-21T02:38:43.791573+00:00,2026-07-21T02:38:44.227532+00:00
119,pilot,A,fpb-full-002807,fpb,upstage,solar-pro3,1,success,200,,,169,0,169,3,172,407.97,2.715e-05,2026-07-21T02:38:44.541573+00:00,2026-07-21T02:38:44.949466+00:00
120,pilot,A,fpb-full-002829,fpb,upstage,solar-pro3,1,success,200,,,140,0,140,3,143,398.98,2.28e-05,2026-07-21T02:38:45.262445+00:00,2026-07-21T02:38:45.661455+00:00
121,pilot,A,fpb-full-002851,fpb,upstage,solar-pro3,1,success,200,,,165,0,165,3,168,402.11,2.655e-05,2026-07-21T02:38:45.975252+00:00,2026-07-21T02:38:46.377598+00:00
